amc,Sigla,1991,2000,2010,Amazon
3069,MA,99401,110872,125345,1
3070,MA,25318,26433,31015,1
3071,MA,17136,19906,20452,1
3072,MA,14277,16123,24427,1
3073,MA,25362,26043,31738,1
3074,MA,7498,8289,12464,1
3075,MA,4934,4543,4590,1
3076,MA,74434,81067,84265,1
3077,MA,53195,93276,131448,1
3078,MA,15565,17264,18764,1
3079,MA,15776,17854,20103,1
3080,MA,50603,56230,58401,1
3081,MA,82432,99702,118059,1
3082,MA,29287,30299,34267,1
3083,MA,13375,13071,13803,1
3084,MA,16443,15124,17381,1
3085,MA,42721,46973,52227,1
3086,MA,6435,10693,11541,1
3087,MA,7855,10483,10717,1
3088,MA,18419,20631,27774,1
3089,MA,5743,5261,5487,1
3090,MA,36006,40078,46244,1
3091,MA,26434,30860,39110,1
3092,MA,64713,68321,77282,1
3093,MA,21280,24922,32366,1
3094,MA,24667,33664,38137,1
3095,MA,15057,16442,17799,1
3096,MA,28036,31819,40736,1
3097,MA,12917,12854,12146,1
3098,MA,25552,27469,29541,1
3099,MA,70571,107384,163045,1
3100,MA,696371,870028,1014837,1
3101,MA,14147,14870,17474,1
3102,MA,13639,15114,17002,1
3103,MA,6197,6393,7796,1
3104,MA,22960,26401,27997,1
3105,MA,107439,129692,155460,1
3106,MA,32897,34707,49412,1
4001,PI,38942,44338,46824,0
4002,PI,5720,5340,5098,0
4003,PI,24639,25818,28340,0
4004,PI,8074,6868,7341,0
4005,PI,9728,10413,10828,0
4006,PI,15581,15155,16906,0
4007,PI,38853,42629,46390,0
4008,PI,17840,18631,20244,0
4009,PI,16528,16884,17135,0
4010,PI,6129,6788,6672,0
4011,PI,54587,61068,69529,0
4012,PI,14512,15580,15866,0
4013,PI,8919,9359,9573,0
4014,PI,145492,158214,170453,0
4015,PI,24829,25741,25637,0
4016,PI,24818,28435,31269,0
4017,PI,11913,13501,17361,0
4018,PI,8079,8582,8188,0
4019,PI,50151,54559,61074,0
4020,PI,14024,15649,16461,0
4021,PI,162286,173205,185802,0
4022,PI,13451,13929,15855,0
4023,PI,18728,21028,23708,0
4024,PI,41343,44886,46110,0
4025,PI,24669,25963,29584,0
4026,PI,3890,4208,4369,0
4027,PI,18126,20156,27333,0
4028,PI,156764,175172,195492,0
4029,PI,72258,70166,74726,0
4030,PI,27190,27664,29986,0
4031,PI,28744,30146,31067,0
4032,PI,14782,15493,16788,0
4033,PI,5894,5141,5408,0
4034,PI,38172,43060,46459,0
4035,PI,28731,32363,35952,0
4036,PI,14324,16316,18700,0
4037,PI,8144,8629,8311,0
4038,PI,10161,10036,10953,0
4039,PI,11804,12854,14613,0
4040,PI,22147,21903,23875,0
4041,PI,26989,29305,31608,0
4042,PI,8746,9200,10701,0
4043,PI,7629,8732,10042,0
4044,PI,24964,27750,28967,0
4045,PI,5963,6493,7831,0
4046,PI,10986,13950,14516,0
4047,PI,10948,10751,11749,0
4048,PI,5058,5954,6569,0
4049,PI,4273,4284,4264,0
4050,PI,8992,8909,9245,0
4051,PI,35806,40100,44266,0
4052,PI,4850,4372,4366,0
4053,PI,5621,5863,6130,0
4054,PI,51494,54591,57690,0
4055,PI,5311,5254,5235,0
4056,PI,5028,5236,4477,0
4057,PI,7049,7043,8592,0
4058,PI,3633,3703,3771,0
4059,PI,13174,14426,14845,0
4060,PI,7525,8428,9327,0
